N,itm,Date,u,v
1,1,2025-10-24 18:30:00,-0.1,-0.07
2,2,2025-10-24 19:30:00,-0.1,-0.08
3,3,2025-10-24 20:30:00,-0.08,-0.06
4,4,2025-10-24 21:30:00,-0.05,-0.04
5,5,2025-10-24 22:30:00,-0.0,0.01
6,6,2025-10-24 23:30:00,0.05,0.06
7,7,2025-10-25 00:30:00,0.12,0.1
8,8,2025-10-25 01:30:00,0.18,0.12
9,9,2025-10-25 02:30:00,0.21,0.12
10,10,2025-10-25 03:30:00,0.2,0.08
11,11,2025-10-25 04:30:00,0.15,0.04
12,12,2025-10-25 05:30:00,0.07,0.01
13,13,2025-10-25 06:30:00,-0.0,0.02
14,14,2025-10-25 07:30:00,-0.03,0.04
15,15,2025-10-25 08:30:00,-0.03,0.02
16,16,2025-10-25 09:30:00,-0.02,-0.02
17,17,2025-10-25 10:30:00,-0.02,-0.05
18,18,2025-10-25 11:30:00,-0.03,-0.06
19,19,2025-10-25 12:30:00,-0.04,-0.06
20,20,2025-10-25 13:30:00,-0.05,-0.06
21,21,2025-10-25 14:30:00,-0.06,-0.05
22,22,2025-10-25 15:30:00,-0.06,-0.04
23,23,2025-10-25 16:30:00,-0.06,-0.04
24,24,2025-10-25 17:30:00,-0.06,-0.04
25,25,2025-10-25 18:30:00,-0.07,-0.05
26,26,2025-10-25 19:30:00,-0.07,-0.04
27,27,2025-10-25 20:30:00,-0.05,-0.03
28,28,2025-10-25 21:30:00,-0.03,-0.0
29,29,2025-10-25 22:30:00,-0.0,0.02
30,30,2025-10-25 23:30:00,0.03,0.04
31,31,2025-10-26 00:30:00,0.07,0.07
32,32,2025-10-26 01:30:00,0.11,0.09
33,33,2025-10-26 02:30:00,0.15,0.09
34,34,2025-10-26 03:30:00,0.16,0.08
35,35,2025-10-26 04:30:00,0.14,0.05
36,36,2025-10-26 05:30:00,0.1,0.02
37,37,2025-10-26 06:30:00,0.04,0.01
38,38,2025-10-26 07:30:00,-0.01,0.03
39,39,2025-10-26 08:30:00,-0.02,0.04
40,40,2025-10-26 09:30:00,-0.01,0.02
